layer,pair_type,cosine_distance,l2_distance
6,correct_correct,0.02229429483413691,14.20736322402954
6,correct_wrong,0.03322355945905045,17.53836553704505
6,wrong_wrong,0.030257092316945348,16.43996026992798
9,correct_correct,0.017067691485087026,19.21452730814616
9,correct_wrong,0.027293180133782128,24.63685682708142
9,wrong_wrong,0.023257129192352254,22.570337880452474
12,correct_correct,0.0196205870310465,23.057461128234863
12,correct_wrong,0.03498498715606386,31.768178799573114
12,wrong_wrong,0.027723730405171673,27.644139391581216
